ZIP_3_DIGIT,popcount,year
424,66989,2006
423,93613,2006
403,270789,2006
405,270789,2006
400,97087,2006
401,97087,2006
427,97087,2006
400,701500,2006
401,701500,2006
402,701500,2006
410,154911,2006
459,154911,2006
403,79015,2006
404,79015,2006
415,66860,2006
416,66860,2006
421,101266,2006
422,101266,2006
703,97335,2006
704,97335,2006
707,97335,2006
710,107270,2006
711,107270,2006
710,253118,2006
711,253118,2006
706,184524,2006
707,429073,2006
708,429073,2006
705,75509,2006
700,431361,2006
701,431361,2006
703,431361,2006
705,203091,2006
700,93554,2006
703,93554,2006
704,114805,2006
707,114805,2006
700,223388,2006
701,223388,2006
712,149259,2006
714,149259,2006
706,130201,2006
713,130201,2006
714,130201,2006
705,91528,2006
707,91528,2006
713,91528,2006
704,230605,2006
704,113137,2006
703,109348,2006
42,107552,2006
44,73008,2006
47,73008,2006
40,274598,2006
41,274598,2006
42,274598,2006
42,121068,2006
43,121068,2006
49,121068,2006
44,147180,2006
47,147180,2006
49,147180,2006
38,202232,2006
39,202232,2006
40,202232,2006
215,72831,2006
217,72831,2006
207,509300,2006
210,509300,2006
211,509300,2006
212,509300,2006
214,509300,2006
210,787384,2006
211,787384,2006
212,787384,2006
206,88804,2006
207,88804,2006
210,170260,2006
211,170260,2006
217,170260,2006
219,99506,2006
206,140416,2006
208,222938,2006
217,222938,2006
210,241402,2006
211,241402,2006
207,272452,2006
208,272452,2006
210,272452,2006
211,272452,2006
217,272452,2006
200,932131,2006
202,932131,2006
207,932131,2006
208,932131,2006
209,932131,2006
210,932131,2006
217,932131,2006
202,841315,2006
203,841315,2006
204,841315,2006
205,841315,2006
206,841315,2006
207,841315,2006
209,841315,2006
206,98854,2006
217,143748,2006
218,91987,2006
212,631366,2006
23,224816,2006
25,224816,2006
26,224816,2006
10,131117,2006
12,131117,2006
13,131117,2006
20,545379,2006
23,545379,2006
27,545379,2006
18,735958,2006
19,735958,2006
55,735958,2006
10,72183,2006
12,72183,2006
13,72183,2006
10,460520,2006
11,460520,2006
12,460520,2006
15,460520,2006
10,153471,2006
12,153471,2006
13,153471,2006
14,1467016,2006
15,1467016,2006
17,1467016,2006
18,1467016,2006
20,1467016,2006
21,1467016,2006
22,1467016,2006
24,1467016,2006
15,654753,2006
17,654753,2006
20,654753,2006
21,654753,2006
22,654753,2006
23,654753,2006
24,654753,2006
27,654753,2006
20,493623,2006
21,493623,2006
23,493623,2006
25,493623,2006
27,493623,2006
19,687610,2006
20,687610,2006
21,687610,2006
22,687610,2006
24,687610,2006
10,784992,2006
13,784992,2006
14,784992,2006
15,784992,2006
16,784992,2006
17,784992,2006
490,113501,2006
493,113501,2006
494,113501,2006
486,108390,2006
487,108390,2006
490,161705,2006
491,161705,2006
488,137991,2006
490,137991,2006
492,137991,2006
488,69909,2006
489,69909,2006
488,107237,2006
489,107237,2006
490,107237,2006
492,107237,2006
484,441966,2006
485,441966,2006
487,441966,2006
496,84952,2006
488,276898,2006
489,276898,2006
492,276898,2006
486,65818,2006
488,65818,2006
493,65818,2006
481,163851,2006
488,163851,2006
492,163851,2006
490,240720,2006
488,599524,2006
493,599524,2006
494,599524,2006
495,599524,2006
480,93761,2006
483,93761,2006
484,93761,2006
487,93761,2006
481,102191,2006
492,102191,2006
481,184511,2006
483,184511,2006
484,184511,2006
488,184511,2006
492,184511,2006
480,832861,2006
482,832861,2006
483,832861,2006
486,83792,2006
488,83792,2006
481,155035,2006
492,155035,2006
493,175231,2006
494,175231,2006
480,1214255,2006
481,1214255,2006
482,1214255,2006
483,1214255,2006
484,1214255,2006
493,257671,2006
494,257671,2006
495,257671,2006
484,206300,2006
486,206300,2006
487,206300,2006
488,206300,2006
480,171725,2006
484,171725,2006
484,72912,2006
486,72912,2006
488,72912,2006
490,79018,2006
481,344047,2006
492,344047,2006
480,1971853,2006
481,1971853,2006
482,1971853,2006
483,1971853,2006
550,327005,2006
551,327005,2006
553,327005,2006
554,327005,2006
553,87545,2006
555,87545,2006
560,87545,2006
550,388001,2006
551,388001,2006
553,388001,2006
551,1122093,2006
553,1122093,2006
554,1122093,2006
559,137521,2006
551,493215,2006
554,493215,2006
556,196067,2006
557,196067,2006
558,196067,2006
566,196067,2006
550,124092,2006
553,124092,2006
560,124092,2006
553,84995,2006
563,84995,2006
553,144096,2006
563,144096,2006
550,225000,2006
551,225000,2006
553,114787,2006
386,144706,2006
394,76372,2006
395,76372,2006
395,171875,2006
390,249012,2006
391,249012,2006
392,249012,2006
394,130577,2006
395,130577,2006
391,66022,2006
394,66022,2006
393,76724,2006
388,79714,2006
390,87419,2006
391,87419,2006
392,87419,2006
390,135830,2006
391,135830,2006
392,135830,2006
650,146048,2006
652,146048,2006
644,84955,2006
645,84955,2006
637,71892,2006
640,95781,2006
641,95781,2006
647,95781,2006
656,70514,2006
657,70514,2006
640,206957,2006
641,206957,2006
644,206957,2006
650,73296,2006
651,73296,2006
630,100067,2006
654,100067,2006
656,254779,2006
657,254779,2006
658,254779,2006
640,664078,2006
641,664078,2006
649,664078,2006
647,112505,2006
648,112505,2006
630,216469,2006
636,216469,2006
640,83061,2006
641,83061,2006
644,83061,2006
633,338719,2006
630,1000510,2006
631,1000510,2006
631,347181,2006
594,79385,2006
598,85314,2006
599,85314,2006
590,81763,2006
597,81763,2006
598,101417,2006
590,138213,2006
591,138213,2006
680,492003,2006
681,492003,2006
680,267135,2006
683,267135,2006
684,267135,2006
685,267135,2006
680,142637,2006
681,142637,2006
890,1777539,2006
891,1777539,2006
894,396428,2006
895,396428,2006
897,396428,2006
32,77393,2006
34,77393,2006
36,77393,2006
32,85336,2006
35,85336,2006
37,85336,2006
30,402789,2006
31,402789,2006
32,402789,2006
34,402789,2006
30,148085,2006
31,148085,2006
32,148085,2006
33,148085,2006
30,296267,2006
31,296267,2006
32,296267,2006
38,296267,2006
30,119990,2006
32,119990,2006
38,119990,2006
80,271620,2006
82,271620,2006
83,271620,2006
84,271620,2006
70,904037,2006
74,904037,2006
75,904037,2006
76,904037,2006
80,450627,2006
81,450627,2006
82,450627,2006
85,450627,2006
86,450627,2006
80,517001,2006
81,517001,2006
82,97724,2006
83,97724,2006
82,154823,2006
83,154823,2006
70,786147,2006
71,786147,2006
72,786147,2006
74,786147,2006
80,282031,2006
83,282031,2006
70,601146,2006
73,601146,2006
78,130783,2006
79,130783,2006
85,130783,2006
88,130783,2006
85,367605,2006
86,367605,2006
70,786971,2006
77,786971,2006
85,786971,2006
88,786971,2006
89,786971,2006
77,635285,2006
85,635285,2006
86,635285,2006
87,635285,2006
70,493160,2006
74,493160,2006
78,493160,2006
79,493160,2006
77,562335,2006
80,562335,2006
85,562335,2006
87,562335,2006
70,497093,2006
71,497093,2006
74,497093,2006
75,497093,2006
80,66595,2006
83,66595,2006
70,324186,2006
79,324186,2006
85,324186,2006
88,324186,2006
74,153384,2006
78,153384,2006
70,531088,2006
71,531088,2006
72,531088,2006
79,531088,2006
88,531088,2006
78,110919,2006
88,110919,2006
870,615099,2006
871,615099,2006
879,193888,2006
880,193888,2006
870,71875,2006
873,71875,2006
870,113772,2006
871,113772,2006
875,113772,2006
870,126473,2006
873,126473,2006
874,126473,2006
870,142407,2006
875,142407,2006
870,68427,2006
871,68427,2006
120,297556,2006
121,297556,2006
122,297556,2006
123,297556,2006
124,297556,2006
104,1361473,2006
105,1361473,2006
107,1361473,2006
108,1361473,2006
137,196269,2006
138,196269,2006
139,196269,2006
140,81534,2006
141,81534,2006
147,81534,2006
130,81243,2006
131,81243,2006
148,81243,2006
140,135357,2006
141,135357,2006
147,135357,2006
148,88641,2006
149,88641,2006
129,82166,2006
105,295146,2006
125,295146,2006
126,295146,2006
