store_code_uc,store_zip3,year_2006,year_2007,year_2008,year_2009,year_2010,year_2011,year_2012,year_2013,year_2014,year_2015,years_drink
63022,605,1,1,1,1,1,1,1,1,1,1,10
63131,155,1,1,1,1,1,1,1,1,1,1,10
63145,524,1,1,1,1,1,1,1,1,1,1,10
63281,303,1,1,1,1,1,1,1,1,1,1,10
63353,852,1,1,1,1,1,1,1,1,1,1,10
63389,263,1,1,1,1,1,1,1,1,1,1,10
63534,628,1,1,1,1,1,1,1,1,1,1,10
63638,410,0,0,0,0,1,1,1,1,1,1,6
63756,360,1,1,1,1,1,1,1,1,1,1,10
63770,300,1,1,1,1,1,1,1,1,1,1,10
64041,633,0,0,0,0,1,1,1,1,1,1,6
64159,351,1,1,1,1,1,1,1,1,1,1,10
64308,955,1,1,1,1,1,1,1,1,1,1,10
64340,388,1,1,1,1,1,1,1,1,1,1,10
64693,623,1,1,1,1,1,1,1,1,1,1,10
64915,322,1,1,1,1,1,1,1,1,1,1,10
64965,67,1,1,1,1,1,1,1,1,1,1,10
65011,317,0,0,1,1,1,1,1,1,1,1,8
65051,296,0,0,1,1,1,1,1,1,1,1,8
65327,658,0,1,1,1,1,1,1,1,1,1,9
65653,272,0,0,0,0,1,1,1,1,1,1,6
65689,10,1,1,1,1,1,1,1,1,1,1,10
65952,470,1,1,1,1,1,1,1,1,1,1,10
66056,586,0,0,0,0,1,1,1,1,1,1,6
66459,581,0,0,0,0,1,1,1,1,1,1,6
66536,655,0,1,1,1,1,1,1,1,1,1,9
66708,526,1,1,1,1,1,1,1,1,1,1,10
66849,853,1,1,1,1,1,1,1,1,1,1,10
67161,440,1,1,1,1,1,1,1,1,1,1,10
67216,745,1,1,1,1,1,1,1,1,1,1,10
67564,782,1,1,1,1,1,1,1,1,1,1,10
67700,750,1,1,1,1,1,1,1,1,1,1,10
67704,10,1,1,1,1,1,1,1,1,1,1,10
68058,953,1,1,1,1,1,1,1,1,1,1,10
68370,770,1,1,1,1,1,1,1,1,1,1,10
68542,323,1,1,1,1,1,1,1,1,1,1,10
68742,275,1,1,1,1,1,1,1,1,1,1,10
68877,295,0,0,0,0,1,1,1,1,1,1,6
69126,526,1,1,1,1,1,1,1,1,1,1,10
69176,441,1,1,1,1,1,1,1,1,1,1,10
69280,379,0,0,0,0,1,1,1,1,1,1,6
69348,317,1,1,1,1,1,1,1,1,1,1,10
69421,42,1,1,1,1,1,1,1,1,1,1,10
69470,605,1,1,1,1,1,1,1,1,1,1,10
69593,70,1,1,1,1,1,1,1,1,1,1,10
69683,791,0,0,0,0,1,1,1,1,1,1,6
69801,24,1,1,1,1,1,1,1,1,1,1,10
70086,797,0,0,0,0,1,1,1,1,1,1,6
70122,10,1,1,1,1,1,1,1,1,1,1,10
70788,750,1,1,1,1,1,1,1,1,1,1,10
70874,601,0,0,1,1,1,1,1,1,1,1,8
70879,330,1,1,1,1,1,1,1,1,1,1,10
71205,70,1,1,1,1,1,1,1,1,1,1,10
71594,681,1,1,1,1,1,1,1,1,1,1,10
71698,844,0,0,0,0,1,1,1,1,1,1,6
71734,10,1,1,1,1,1,1,1,1,1,1,10
71907,377,1,1,1,1,1,1,1,1,1,1,10
72043,770,1,1,1,1,1,1,1,1,1,1,10
72219,662,1,1,1,1,1,1,1,1,1,1,10
72400,752,1,1,1,1,1,1,1,1,1,1,10
72504,841,0,0,0,0,1,1,1,1,1,1,6
72533,228,0,0,0,0,1,1,1,1,1,1,6
72772,601,1,1,1,1,1,1,1,1,1,1,10
73025,29,1,1,1,1,1,1,1,1,1,1,10
73220,70,1,1,1,1,1,1,1,1,1,1,10
73310,843,0,0,0,0,1,1,1,1,1,1,6
73428,21,1,1,1,1,1,1,1,1,1,1,10
73559,614,1,1,1,1,1,1,1,1,1,1,10
73609,300,1,1,1,1,1,1,1,1,1,1,10
73713,820,0,0,0,0,1,1,1,1,1,1,6
