store_code_uc,store_zip3,fips_state_code,fips_state_descr,fips_county_code,fips_county_descr,year_2006,year_2007,year_2008,year_2009,year_2010,year_2011,year_2012,year_2013,year_2014,year_2015,years_all
4622220,347,12,FL,69,LAKE,1,1,1,1,1,1,0,0,0,0,6
4622297,708,22,LA,33,E BATON RGE,1,1,1,1,1,1,1,1,1,1,10
4622414,945,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
4622642,104,36,NY,5,BRONX,1,1,1,1,1,1,0,0,0,0,6
4622700,708,22,LA,33,E BATON RGE,1,1,1,1,1,1,1,1,1,1,10
4622767,894,0,0,0,0,0,0,0,0,0,0,1,1,1,1,4
4622777,346,12,FL,101,PASCO,1,1,1,1,1,1,0,0,0,0,6
4623534,752,48,TX,113,DALLAS,1,1,1,1,1,1,1,1,1,1,10
4623592,535,55,WI,45,GREEN,1,1,1,1,1,1,1,1,1,1,10
4624265,35,33,NH,9,GRAFTON,1,1,1,1,1,1,1,1,1,1,10
4624312,704,22,LA,117,WASHINGTON,1,1,1,1,1,1,0,0,0,0,6
4624715,711,22,LA,15,BOSSIER,1,1,1,1,1,1,0,0,0,0,6
4625109,971,41,OR,71,YAMHILL,1,1,1,1,1,1,1,1,1,1,10
4625915,287,37,NC,115,MADISON,1,1,1,1,1,1,1,1,0,0,8
4626001,238,51,VA,41,CHESTERFIELD,1,1,1,1,1,1,1,1,1,1,10
4626354,512,19,IA,167,SIOUX,1,1,1,1,1,1,1,1,1,1,10
4626385,302,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3
4626807,321,12,FL,127,VOLUSIA,1,1,1,1,1,1,1,0,0,0,7
4626948,480,26,MI,99,MACOMB,1,1,1,1,1,1,1,1,1,1,10
4627527,293,45,SC,21,CHEROKEE,1,1,1,1,1,1,1,1,0,0,8
4627613,322,12,FL,31,DUVAL,1,1,1,1,1,1,0,0,0,0,6
4628089,60,9,CT,3,HARTFORD,1,1,1,1,1,1,1,1,1,1,10
