store_code_uc,store_zip3,fips_state_code,fips_state_descr,fips_county_code,fips_county_descr,years_all,years_drink
6774752,441,39,OH,35,CUYAHOGA,1,1
6775046,272,37,NC,57,DAVIDSON,0,0
6775046,273,0,0,0,0,0,0
6775187,951,6,CA,85,SANTA CLARA,1,1
6775313,406,21,KY,73,FRANKLIN,1,1
6775390,752,0,0,0,0,0,0
6775401,785,48,TX,427,STARR,1,0
6775544,773,48,TX,471,WALKER,1,1
6775558,150,42,PA,3,ALLEGHENY,1,1
6775630,930,6,CA,111,VENTURA,1,1
6775843,70,34,NJ,17,HUDSON,0,0
6776033,930,6,CA,111,VENTURA,1,1
6776237,365,1,AL,53,ESCAMBIA,1,1
6776246,103,36,NY,85,RICHMOND,1,1
6776332,503,19,IA,153,POLK,1,1
6776391,522,19,IA,157,POWESHIEK,1,0
6776400,365,1,AL,3,BALDWIN,1,1
6776708,795,48,TX,441,TAYLOR,1,1
6777138,413,21,KY,129,LEE,1,1
6777944,457,39,OH,9,ATHENS,1,1
6777945,540,55,WI,93,PIERCE,0,0
6778048,930,6,CA,111,VENTURA,1,1
6778216,638,29,MO,155,PEMISCOT,1,0
6778347,121,36,NY,39,GREENE,1,1
6779153,408,21,KY,95,HARLAN,1,1
6779534,805,8,CO,123,WELD,1,1
6779557,499,26,MI,131,ONTONAGON,0,0
6779565,986,53,WA,11,CLARK,1,1
6779660,930,6,CA,111,VENTURA,1,1
6779701,322,12,FL,31,DUVAL,1,1
6780466,930,6,CA,111,VENTURA,0,0
6780507,730,40,OK,39,CUSTER,1,1
6780525,271,37,NC,67,FORSYTH,1,1
6780765,503,19,IA,153,POLK,1,1
6780833,553,27,MN,141,SHERBURNE,1,1
6780960,331,12,FL,86,MIAMI-DADE,1,1
6781236,301,13,GA,233,POLK,0,0
6781363,337,12,FL,103,PINELLAS,1,1
6781561,774,0,0,0,0,0,0
6781571,712,22,LA,35,EAST CARROLL,1,1
6781580,970,41,OR,67,WASHINGTON,1,1
6781595,662,20,KS,91,JOHNSON,1,0
6781983,986,53,WA,15,COWLITZ,1,1
6782349,750,0,0,0,0,0,0
6782377,708,22,LA,33,E BATON RGE,1,1
6782481,930,6,CA,111,VENTURA,1,1
6782753,611,17,IL,201,WINNEBAGO,1,1
6782884,930,6,CA,111,VENTURA,1,1
6783251,286,37,NC,35,CATAWBA,0,0
6783559,612,17,IL,195,WHITESIDE,1,1
6783690,930,6,CA,83,SANTA BRBARA,0,0
6783776,407,21,KY,235,WHITLEY,1,1
6783885,657,0,0,0,0,0,0
6784007,770,48,TX,201,HARRIS,1,1
6784013,870,35,NM,43,SANDOVAL,1,0
6785302,930,6,CA,83,SANTA BRBARA,0,0
6785796,330,12,FL,11,BROWARD,1,1
6785873,381,47,TN,157,SHELBY,1,1
6786004,703,22,LA,109,TERREBONNE,1,1
6786113,708,22,LA,33,E BATON RGE,1,1
6786357,296,45,SC,45,GREENVILLE,0,0
6786628,481,0,0,0,0,0,0
6786760,296,45,SC,45,GREENVILLE,0,0
6787077,752,48,TX,113,DALLAS,1,1
6787146,148,36,NY,101,STEUBEN,1,0
6787346,322,12,FL,31,DUVAL,1,0
6787616,712,22,LA,73,OUACHITA,1,1
6788043,863,4,AZ,25,YAVAPAI,1,0
6788422,705,22,LA,1,ACADIA,0,0
6789332,931,6,CA,83,SANTA BRBARA,0,0
6789437,956,6,CA,61,PLACER,1,1
6789500,255,54,WV,43,LINCOLN,1,1
6789640,940,6,CA,85,SANTA CLARA,0,0
6790063,601,17,IL,111,MCHENRY,1,0
6790582,207,24,MD,33,PRNC GEORGES,1,1
6791207,335,12,FL,57,HILLSBOROUGH,1,1
6791243,704,22,LA,105,TANGIPAHOA,1,1
6791750,931,6,CA,83,SANTA BRBARA,0,0
6791913,752,48,TX,113,DALLAS,1,1
6792013,337,12,FL,103,PINELLAS,1,1
6792879,296,45,SC,47,GREENWOOD,1,0
6792919,871,35,NM,1,BERNALILLO,1,1
6793842,781,48,TX,91,COMAL,1,1
6794491,314,13,GA,51,CHATHAM,1,0
6794527,483,26,MI,125,OAKLAND,1,0
6794830,481,26,MI,163,WAYNE,1,1
6794848,666,20,KS,177,SHAWNEE,1,1
6795003,310,13,GA,235,PULASKI,1,0
6795101,894,32,NV,31,WASHOE,1,1
